,Alpha,G_Err_MinOver,G_Err_AdaTron
0,0.25,0.33761189807715736,0.5205020609275772
1,0.5,0.2886298106235241,0.5434020688587158
2,0.75,0.24480584411675715,0.5392786458919226
3,1.0,0.22475323448490556,0.5004261345522729
4,1.25,0.20622431695713517,0.48144303637942676
5,1.5,0.16208056910853522,0.4890193575562213
6,1.75,0.15222152751839532,0.4729524880863758
7,2.0,0.1564141628257509,0.47157884846971115
8,2.25,0.14275278161961436,0.4668914786790505
9,2.5,0.13042238713994603,0.4649498878968414
10,2.75,0.12096862986474745,0.5281999334376646
